target,raw_predictions,correctly_predicted,SIDE_score
<s>Retrieve and configure a language model for evaluation using specified or default settings .,<s>Get the evaluation matrix for a given configuration,0,0.8363093137741089
<s>Convert object attributes to a dictionary representation with optional fields .,<s>Convert this to a dictionary,0,0.7503715753555298
<s>Decorator function to register metadata attributes to another function .,<s>Decorator for registering a tool,0,0.8285434246063232
<s>Convert a 32-character trace ID into a UUID format .,<s>Convert a trace id into a string,0,0.9049766063690186
<s>Validate and retrieve Azure AI Search endpoint configuration,<s>Get the endpoint configuration from the configuration file,0,0.624396026134491
<s>Serialize and save processed results to a JSON file in the specified directory .,<s>Save the results to disk,0,0.7364419102668762
<s>Create a mock asynchronous HTTP client with predefined response behavior .,<s>Create a mocked client with a single request,0,0.40937328338623047
<s>Log a workflow step with details using a debug logger .,<s>Log a step,0,0.7689984440803528
<s>Generate app-specific embeddings using OpenAI model based on app metadata .,<s>Generate an embedding for an app,0,0.9225194454193115
<s>Determine operating system name and return standardized identifier .,<s>Get the current operating system,0,0.715157151222229
<s>Log execution time if debugging is enabled in environment settings .,<s>Called when the user clicks on the button,0,0.22469332814216614
"<s>Create a new directory for each turn in a sequence , logging the process .",<s>Create a new directory,0,0.8952017426490784
<s>Create a new StreamInfo by merging attributes from instances and keyword arguments,<s>Copy all the information from the stream into a dictionary,0,0.6411673426628113
<s>Save processed model results and optional terms of use to specified directory .,<s>Write the results to disk,0,0.5089040994644165
<s>Convert functional pseudo-element to XPath expression with attribute handling .,<s>Convert an XPath expression into an XPath expression,0,0.622890055179596
"<s>Determine and return the appropriate PyTorch device , defaulting to CUDA if unavailable .",<s>Return the current device,0,0.1912238746881485
"<s>Initialize cache with specified GPU and CPU blocks , logging memory usage and configuration .",<s>Initialize the cache for the given number of GPU and CPU,0,0.9366400241851807
<s>Generate a string representation of filter task attributes for display .,<s>Returns a string representation of the current state,0,0.8878605365753174
<s>Convert object attributes into a structured dictionary format for serialization .,<s>Convert this into a dictionary,0,0.6639648675918579
<s>Extract unique URLs and associated metadata from a JSONL file,<s>Extract all the urls from a file,0,0.9133224487304688
<s>Generate HTML status message with color based on availability,<s>Returns a list of all the possible values,0,0.7539580464363098
<s>Determine the appropriate server port based on environment variables or configuration .,<s>Get the port number from the environment,0,0.5663653016090393
<s>Parse a file to extract and organize PDF-related rules into a dictionary .,<s>Read a file into a dictionary,0,0.7813219428062439
<s>Download and save a file from a URL to a specified cache directory .,<s>Download a file from a remote server,0,0.8333463668823242
<s>Map execution modes to corresponding function names for execution .,<s>Returns a function that returns a tuple of,0,0.6929506659507751
"<s>Initialize authentication settings with domain , algorithms , and user model .",<s>Initialize the mock object,0,0.7966609001159668
<s>Recreate a vector collection by deleting and then creating it anew .,<s>Recreate a collection,0,0.8318716287612915
<s>Convert object attributes to a structured dictionary format .,<s>Convert this object to a dictionary,0,0.9001646637916565
<s>Fetches and returns a random fact or error message from an API .,<s>Get the current state of the board,0,0.5635705590248108
<s>Retrieve and cache the maximum batch size for a given model using gRPC client,<s>Get the maximum batch size for a given model,0,0.801200270652771
"<s>Generate a structured response object with text , stop reason , and token usage .",<s>Convert a string into a dictionary,0,0.40929704904556274
<s>Convert dictionary data into an L1GenerationResult object instance .,<s>Create a new from a dictionary,0,0.603223443031311
<s>Extracts and parses JSON object from a given string using regex .,<s>Extract the most recent item from the list,0,0.7170361280441284
<s>Create and monitor a vector store for file processing using OpenAI client,<s>Create a new vector store,0,0.9463878870010376
<s>Retrieve model configuration or default settings based on model identifier .,<s>Return a dictionary of the parameters of a given,0,0.8314678072929382
<s>Validate if a resolution string matches the `` widthxheight '' format .,<s>Check if the given file is in the cache,0,0.719148576259613
<s>Create a dictionary representing an item with optional state handling .,<s>Create a new instance of the given object,0,0.8029590845108032
<s>Selects and returns a schedule sampler based on the given name .,<s>Create a sampler from a string,0,0.6734981536865234
<s>Validate if actual window size is within tolerance of configured dimensions .,<s>Check if the given window size matches the expected size,0,0.898652195930481
<s>Release GPU resources and collect garbage to optimize memory usage .,<s>Clean up after each test,0,0.4307498335838318
"<s>Copy a source file or directory to a shared memory location , ensuring uniqueness .",<s>Copy a file from one location to another,0,0.7078858613967896
"<s>Safely parse JSON from hedge fund API response , handling errors gracefully .",<s>Parse the response from the server,0,0.7852473855018616
<s>Load and initialize a pre-trained Vocos model from a specified repository .,<s>Load the pretrained model from disk,0,0.8759070634841919
<s>Appends legal disclaimer to a given text content .,<s>Add a new comment to the database,0,0.7217176556587219
<s>Parse and convert a datetime string with timezone handling from a dictionary .,<s>Parse a date string into a datetime object,0,0.8559028506278992
<s>Generate HTTP headers for authentication using credentials .,<s>Returns a dictionary of the form,0,0.18007966876029968
<s>Configure a logger with custom formatting and error level settings .,<s>Set up the logger,0,0.9546718001365662
<s>Create a dictionary for infographic data extraction task properties .,<s>Returns a dictionary of the form,0,0.8435937166213989
<s>Map topic identifiers to descriptive summaries for documentation .,<s>Returns a dictionary of the following keys,0,0.7264293432235718
<s>Formats key inputs for PyAutoGUI hotkey automation script .,<s>Convert a list of strings into a list of dictionaries,0,0.5078881978988647
<s>Close and remove idle database connections exceeding timeout threshold .,<s>Close all connections that have been made to this,0,0.8375361561775208
<s>Constructs a hierarchical tree structure for agents and their managed sub-agents .,<s>Build a tree of objects,0,0.7085045576095581
<s>Extracts metadata of weights from a neural network module .,<s>Get the meta data for a given module,0,0.48223721981048584
"<s>Safely read file content , handling errors and non-existent paths .",<s>Read a file from disk,0,0.9204678535461426
<s>Initialize resource management with optional exit stack and component hook,<s>Initialize the object,0,0.9010822772979736
"<s>Adjusts macOS Chrome directory permissions for the current user , handling exceptions .",<s>Fix permissions for the given user,0,0.13723637163639069
<s>Progressively initialize model layers with noise based on pretrained state,<s>Initialize the progressive model,0,0.6572979688644409
"<s>Constructs a refinement prompt using request , response , feedback , and iteration .",<s>Build a prompt for a user,0,0.8264478445053101
<s>Extracts and logs Python code blocks from a given text input .,<s>Extract all the code blocks from the given text,0,0.647351861000061
"<s>Ensure required packages are installed , installing if necessary .",<s>Check if the given file is in the database,0,0.47296056151390076
<s>Evaluate contrarian sentiment in news articles to identify potential investment opportunities .,<s>Analyse the news into a dictionary,0,0.7074631452560425
<s>Generate optional repetition patterns with customizable separators .,<s>Return a list of all possible combinations of,0,0.8135346174240112
<s>Transform script lines by commenting out shell or magic commands .,<s>Return a string with the information from the,0,0.7269999384880066
"<s>Convert complex objects to native Python types , handling dataclasses and configurations .",<s>Convert a config object to a native Python type,0,0.7790501117706299
<s>Fetch deployment configurations using authorization token and project ID,<s>Get all the configurations,0,0.5679042935371399
<s>Detects and categorizes SQL mutating keywords into predefined groups .,<s>Detect mutual exclusion of a statement,0,0.8316369652748108
<s>Generate a trace filename using a pattern with a session ID or timestamp,<s>Return the trace filename for this trace,0,0.8038161993026733
"<s>Load a system prompt template from a file , handling exceptions .",<s>Load the template from the database,0,0.623930811882019
<s>Converts object history into a dictionary format using specified parameters .,<s>Returns a dictionary of the form,0,0.8603408336639404
<s>Determine if a directory name should be ignored based on a predefined list .,<s>Check if a directory is in the cache,0,0.8861385583877563
<s>This function attempts to load an audio file and returns the audio data or an error message .,<s>Read a file and return the corresponding object,0,0.6649307608604431
<s>Generate and display a curl command for HTTP requests with optional JSON data .,<s>Print the contents of a file,0,0.002637479454278946
<s>Log initialized image processing capabilities based on available tools,<s>Log all available images,0,0.9543191194534302
"<s>Load OpenAI configuration from JSON file , handle errors gracefully .",<s>Load all mappings from the database,0,0.8492744565010071
<s>Generate a formatted Python docstring from operation details and parameters .,<s>Return a string representation of the operation,0,0.5592425465583801
<s>Check if an MCP server is active and return its status message .,<s>Returns the most recent item in the list,0,0.4986152946949005
<s>Load and return valid images from a specified directory as a dictionary .,<s>Load images from a directory,0,0.9521059393882751
<s>Generate document chunks with embeddings and metadata for testing purposes .,<s>Generate a bunch of documents,0,0.8612223863601685
"<s>Safely update component states , logging changes and handling NaN values .",<s>Update the state of all components,0,0.6276282072067261
<s>Initialize and execute an AI agent to summarize top daily papers using a specified language model .,<s>Run the code agent,0,0.7048746943473816
"<s>Safely save a model using a trainer , handling deepspeed and CPU state .",<s>Save the model to disk,0,0.8285695314407349
<s>Load a text inference model based on specified device configuration,<s>Load the pretrained model,0,0.769828200340271
<s>Generate platform-specific scripts to switch applications using automation tools .,<s>Switches the application name for the given platform,0,0.84131920337677
<s>Merge new data into existing list by unique key field,<s>Merge two sets of data into one set,0,0.75201815366745
<s>Check if a specific model revision exists on the hub and validate its README presence .,<s>Check if the given revision already exists in the Hub,0,0.963560163974762
"<s>Update session state with event-driven changes , ignoring temporary keys .",<s>Update the state of a given object,0,0.6863042712211609
"<s>Restart a container and verify its running status , raising an error if unsuccessful .",<s>Returns a list of all the positions of the,0,0.49502772092819214
<s>Compute and save statistical data from a specified path using a neural model .,<s>Save statistics for a given feature,0,0.5069053173065186
<s>Reorder batch and non-tensor data using specified indices .,<s>Reorder the tensor in place,0,0.46381571888923645
<s>Update macOS platform UUID using a new telemetry ID with error handling .,<s>Update the platform s UUID,0,0.5257866978645325
"<s>Converts model data to query parameters , excluding None values , and sets stream mode .",<s>Convert this object into a Query object,0,0.7209535241127014
"<s>Validate and extract audio file duration , handling errors gracefully .",<s>Process an audio file,0,0.8367501497268677
<s>Create or replace a BigQuery dataset in the US location .,<s>Creates a dataset from a string,0,0.7974283695220947
<s>Map node types to specific color codes for visualization .,<s>Returns a string representing the color of a node,0,0.930051863193512
"<s>Generate a list of mock data chunks with content , metadata , and scores",<s>Generate a list of chunks,0,0.8338767886161804
<s>Retrieve and log data from a collection by matching a given URL .,<s>Search for a item in a given collection,0,0.5304069519042969
"<s>Load and parse document files from S3 , storing structured information for each line .",<s>Load and return all documents from the given files,0,0.862894594669342
<s>Decrypts base64-encoded text using a password-derived key .,<s>Decrypts a message,0,0.746242344379425
<s>Store and update conversation history and metadata for user interactions .,<s>Store a user message in the conversation history,0,0.8802061676979065
<s>Create a vocabulary dictionary mapping symbols to unique indices .,<s>Returns a dictionary mapping symbols to their corresponding,0,0.8823766708374023
<s>Remove sensitive data before saving configuration to a file .,<s>Save the settings to the file,0,0.8032588362693787
<s>Create a new invocation context with updated branch information for a sub-agent .,<s>Create a new context for an agent,0,0.747986376285553
<s>Generate a markdown context for Cassandra and Amazon Keyspaces table guidance .,<s>Build a context for a list of tables,0,0.8249313235282898
<s>Calculate and return performance metrics from results data .,<s>Returns a dictionary with the following keys,0,-0.10854940861463547
<s>Execute shell command with options for success assertion and output capture,<s>Run the given command,0,0.8295608758926392
<s>Resolve JSON reference paths within a document to retrieve nested values .,<s>Resolve a reference to a given object,0,0.749208390712738
<s>Toggle a smart light 's state and handle potential errors,<s>Toggle the state of a light,0,0.9711605906486511
"<s>Function lists directory contents , ensuring path security and validity .",<s>Return a list of all the files in this directory,0,0.80741286277771
<s>Process named entity recognition queries and map unique entities .,<s>Process a query,0,0.8030094504356384
"<s>Create a unique project entity with ID , key , name , and description .",<s>Create a project entity from a dictionary,0,0.9173104166984558
"<s>Generate a formatted string detailing intents with descriptions , examples , and metadata .",<s>Generate a context for the given intent,0,0.8426563143730164
<s>Convert ORM object to validated model dictionary with collection mapping .,<s>Convert an ORM object into a ORM object,0,0.7844362854957581
<s>Replace placeholder in string with agent list identifier,<s>Replace all occurrences of a given character with a given value,0,0.5509011745452881
<s>Load and initialize a model with filtered pretrained weights from specified paths .,<s>Load the pretrained model from the given path,0,0.9390370845794678
<s>Convert tool result into structured content with error handling .,<s>Converts a call tool result into a response,0,0.5895323753356934
<s>Load and transform user configuration from a YAML file if it exists,<s>Load user configuration from disk,0,0.938507080078125
<s>Retrieve the latest review author 's name for a product SKU from an API .,<s>Get the latest item from the given item,0,0.5306390523910522
<s>Initialize OCR processor with optimal device selection for execution .,<s>Initializes the processor with the given parameters,0,0.9240032434463501
<s>Generate PKCE code verifier and challenge for secure OAuth2 authentication .,<s>Generate a challenge from the challenge list,0,0.10783951729536057
"<s>Add a new tool to a collection , checking for duplicates and logging warnings .",<s>Add a tool to the graph,0,0.8201079368591309
<s>Clean up temporary directories and log any errors encountered,<s>Delete all files in the directory,0,0.8586485981941223
"<s>Display audio validation results , highlighting errors , metrics , and potential issues .",<s>Print the results of a single query,0,0.839458167552948
<s>Retrieve API key from agent or system configuration for a specific skill,<s>Get the API key for this skill,0,0.8673933744430542
<s>Constructs a message for text analysis based on user instructions and processes it .,<s>Analyze a text file,0,0.576256513595581
<s>Generate a timestamped file path for saving results based on a description .,<s>Returns the path of the file,0,0.8537942171096802
<s>Update migration script IDs with timestamps in revision directives .,<s>Process the given file,0,0.4839116036891937
<s>Extracts profile and deletion mean features from sequence alignment data .,<s>Get the profile features for a given residue,0,0.8740652203559875
<s>Remove subscription from database using Stripe ID if it exists,<s>Delete a subscription from a stripe,0,0.9106743931770325
<s>Safely save model state to specified directory if saving is enabled .,<s>Save the current state of the machine,0,0.528755247592926
<s>Generate a formatted error message from HTTP response details .,<s>Returns a string representation of the error,0,0.6809457540512085
"<s>Decode base64 image data , save as PNG , and return file path .",<s>Save the image to disk,0,0.437580943107605
<s>Set up test environment with mocked modules for deepsearcher components .,<s>Create mock objects,0,0.6859581470489502
<s>Execute a method with logging for specific conditions and delegate execution,<s>Execute the given function as a result of the,0,0.8614364266395569
<s>Visualize and save scroll action using base64 image data if conditions are met .,<s>Visualize the trajectory,0,0.8881275653839111
<s>Convert retrieved documents into formatted string summaries .,<s>Convert a list of objects into a string,0,0.7976823449134827
<s>Format and display top search results with tool details and usage instructions .,<s>Format a list of objects into a string,0,0.8782119750976562
"<s>Initialize session data with voice , modalities , and detection settings",<s>Returns a list of dictionaries representing the,0,0.784695029258728
"<s>Check if a file 's extension is within supported types , logging warnings otherwise .",<s>Check if the file is in the cache,0,0.6432721614837646
<s>Generate HTML highlighting differences between two text sequences .,<s>Generate HTML for a given set of items,0,0.8788877725601196
<s>Returns metadata for a SimpleQA question-answering dataset .,<s>Returns a dictionary of the form,0,0.8156759738922119
"<s>Builds a Docker image from a specified path , logging progress and errors .",<s>Build a new image from the given path,0,0.8248817920684814
<s>Constructs a node dictionary with relevance metadata and optional fields .,<s>Convert a node into a dictionary,0,0.9302286505699158
<s>Determine speaker selection in group chat based on agent name or method,<s>Get the best match for this user,0,0.6903613209724426
<s>Convert file URI to local file path and network location .,<s>Convert a file into a file,0,0.5266290307044983
<s>Determine if a file is a video based on its MIME type .,<s>Check if a file is in the database,0,0.7886055707931519
"<s>Retrieve instance or global context , raising error if unavailable .",<s>Get the current state of the,0,0.5161639451980591
<s>Define a function to return a dictionary with system role and content keys .,<s>Returns a dictionary of the form,0,0.8584445714950562
<s>Format step results into a structured string using a template .,<s>Format a step result,0,0.5465121269226074
<s>Update presigned URL 's domain to match base URL if it 's localhost or IP .,<s>Update the URL with the information from the,0,0.8069791197776794
<s>Generate audio file paths based on data frame content,<s>Get all audio files from the database,0,0.8951399326324463
<s>Merge default settings with overrides to produce updated configuration .,<s>Returns a dict of the form,0,0.7047165036201477
<s>Generate unique identifiers for telemetry and storage purposes .,<s>Generate a new unique ID,0,0.7316538691520691
<s>Formats child blocks as either a page or database based on type .,<s>Return a string representation of the tree,0,0.5702897310256958
<s>Load and organize IOI test cases by year into a structured dictionary .,<s>Load all the tests for a given year,0,0.780896008014679
<s>Retrieve and log the DeepSeek Azure API version from configuration settings .,<s>Get the version of the file,0,0.672836184501648
<s>Update document status to FAILED in database and log the outcome,<s>Update the analyze status for a given document,0,0.8372410535812378
<s>Extracts parameters from a URI using a template-based regex pattern .,<s>Returns the best match for the given URL,0,0.8355129957199097
<s>Determine retry eligibility based on operation failure and exception type,<s>Retry all requests for a given resource,0,0.8730628490447998
<s>Ensure configuration values are not dictionaries at the top level .,<s>Check if the given file is in the cache,0,0.7670083045959473
<s>Create a document object with task details and solution choices .,<s>Convert a prompt string into a Doc object,0,0.4240393042564392
<s>Generates Gradio app code using the class name and tool module .,<s>Get the code for a given tool,0,0.8025755286216736
<s>Convert object attributes to a dictionary representation with formatted timestamps .,<s>Returns a dictionary of the form,0,0.8211390376091003
<s>Create a configuration object from environment variables and optional settings .,<s>Construct a new instance of the given class,0,0.8488690853118896
<s>Generate a unique hash for an equation with customizable display settings .,<s>Generate a hash for the given equation,0,0.9230003356933594
<s>Calculate posterior mean and variance for a given time step in a sequence .,<s>Return the mean and variance of a tensor,0,0.7467371225357056
"<s>Convert time intervals to SRT subtitle format with hours , minutes , seconds , and milliseconds .",<s>Convert a time object into a string,0,0.613187849521637
<s>Automatically save a report to a timestamped text file if no filename is provided .,<s>Save the current state of the test,0,0.7612462043762207
<s>Initialize and log cache configuration for GPU and CPU blocks in a distributed system .,<s>Initialize the cache for the given number of GPU and CPU,0,0.9225735068321228
<s>Ensure database manager is initialized and handle operation errors,<s>Get the current state of the,0,0.6983882784843445
"<s>Retrieve appropriate file processor based on file type , initializing if necessary .",<s>Get the processor for this item,0,0.8193375468254089
<s>Simulate agent interactions in environment using configuration file,<s>This is a helper function that returns a list of,0,0.3256656527519226
<s>Display a permission dialog for executing actions on macOS and Linux,<s>Show the permission dialog,0,0.3873814642429352
<s>Configure browser launch settings based on user preferences and stealth mode .,<s>Return a dictionary of the following keys,0,0.6429643034934998
"<s>Extract and parse JSON from a string , handling errors if parsing fails .",<s>Parses the given string into a dictionary,0,0.7018386125564575
<s>Send input data to API and print streaming response .,<s>Make a request to the given URL,0,0.44242405891418457
<s>Merge multiple audio files with silence into a single WAV output .,<s>Merge multiple audio files into one,0,0.9246649742126465
"<s>Remove the top context from the stack , logging actions and warnings .",<s>Pop the topmost item from the queue,0,0.6916371583938599
<s>Remove outdated checkpoints based on step threshold and retention limit .,<s>Remove obsolete checkpoints,0,0.5523812770843506
<s>Retrieve and validate Qdrant endpoint configuration by name,<s>Get the configuration for the given endpoint,0,0.6913721561431885
"<s>Safely save model state to directory , handling GPU synchronization .",<s>Save the model to disk,0,0.7563284635543823
<s>Validate presence of MSA and templates in protein and RNA chains,<s>Check if the input is valid,0,0.6249771118164062
<s>Retrieve or cache text-to-speech skill from UnrealSpeech tool repository .,<s>Get a skill from a skill name,0,0.8735690116882324
"<s>Converts currency amounts from symbols to words , handling dollars and pounds .",<s>Convert a number into a human readable string,0,0.6410504579544067
<s>Generate a PyAutoGUI hotkey command with normalized key inputs .,<s>Add a new hot key to the menu,0,0.018061939626932144
<s>Display neural network model size if on primary process,<s>Print the size of a model,0,0.6925345659255981
<s>Extracts text from the first few pages of a PDF file for quick processing .,<s>Read a PDF file and return its contents,0,0.7165086269378662
